"Name","State","Notes","User","Tags","Created","Runtime","Sweep","graph_type","model","src","target","-early-stopping-epoch","-training-loss","-validation-loss","source-accuracy","target-accuracy"
"egi-scalefree-clustered-unclustered-4","finished","-","niklasdewally","","2023-05-23T11:19:14.000Z","28","","scalefree","egi","clustered","unclustered","22","-0.5510363578796387","-0.3562573790550232","0.6848958333333334","0.6814621409921671"
"egi-scalefree-clustered-unclustered-3","finished","-","niklasdewally","","2023-05-23T11:18:44.000Z","28","","scalefree","egi","clustered","unclustered","22","-0.5999915599822998","0.16818493604660034","0.7161458333333334","0.7310704960835509"
"egi-scalefree-clustered-unclustered-2","finished","-","niklasdewally","","2023-05-23T11:18:04.000Z","38","","scalefree","egi","clustered","unclustered","37","-0.8816181421279907","0.2723720073699951","0.7239583333333334","0.4725848563968668"
"egi-scalefree-clustered-unclustered-1","finished","-","niklasdewally","","2023-05-23T11:17:41.000Z","21","","scalefree","egi","clustered","unclustered","9","-0.5553863048553467","0.7768056988716125","0.6432291666666666","0.639686684073107"
"egi-scalefree-clustered-unclustered-0","finished","-","niklasdewally","","2023-05-23T11:17:07.000Z","32","","scalefree","egi","clustered","unclustered","29","-0.9396878480911256","-0.29410940408706665","0.6927083333333334","0.6840731070496083"
"egi-scalefree-clustered-clustered-9","finished","-","niklasdewally","","2023-05-23T11:16:36.000Z","29","","scalefree","egi","clustered","clustered","24","-0.6424901485443115","1.2320958375930786","0.6927083333333334","0.6292428198433421"
"egi-scalefree-clustered-clustered-8","finished","-","niklasdewally","","2023-05-23T11:16:16.000Z","18","","scalefree","egi","clustered","clustered","","-0.3101288080215454","0.3760520815849304","",""
"egi-scalefree-clustered-clustered-7","finished","-","niklasdewally","","2023-05-23T11:15:52.000Z","21","","scalefree","egi","clustered","clustered","13","-0.4197010397911072","0.43204817175865173","0.703125","0.6161879895561357"
"egi-scalefree-clustered-clustered-6","finished","-","niklasdewally","","2023-05-23T11:15:13.000Z","37","","scalefree","egi","clustered","clustered","32","-0.9261314868927002","-0.3541284203529358","0.7473958333333334","0.5013054830287206"
"egi-scalefree-clustered-clustered-5","finished","-","niklasdewally","","2023-05-23T11:14:51.000Z","20","","scalefree","egi","clustered","clustered","10","-0.6171261668205261","2.6146745681762695","0.6770833333333334","0.4856396866840731"
"egi-scalefree-clustered-clustered-4","finished","-","niklasdewally","","2023-05-23T11:14:32.000Z","17","","scalefree","egi","clustered","clustered","3","-0.5840147137641907","0.5009071230888367","0.6953125","0.6788511749347258"
"egi-scalefree-clustered-clustered-3","finished","-","niklasdewally","","2023-05-23T11:14:08.000Z","22","","scalefree","egi","clustered","clustered","13","-0.7117124795913696","1.4109560251235962","0.6536458333333334","0.6892950391644909"
"egi-scalefree-clustered-clustered-2","finished","-","niklasdewally","","2023-05-23T11:13:39.000Z","27","","scalefree","egi","clustered","clustered","22","-0.788111686706543","-0.060715436935424805","0.671875","0.6762402088772846"
"egi-scalefree-clustered-clustered-1","finished","-","niklasdewally","","2023-05-23T11:13:16.000Z","21","","scalefree","egi","clustered","clustered","9","-0.1388794630765915","0.12964794039726257","0.5286458333333334","0.6161879895561357"
"egi-scalefree-clustered-clustered-0","finished","-","niklasdewally","","2023-05-23T11:12:59.000Z","15","","scalefree","egi","clustered","clustered","5","-0.25299450755119324","0.09469561278820038","0.7291666666666666","0.6710182767624021"
"triangle-scalefree-unclustered-unclustered-9","finished","-","niklasdewally","","2023-05-23T11:12:39.000Z","17","","scalefree","triangle","unclustered","unclustered","7","-0.20424599945545197","0.8393526077270508","0.6119791666666666","0.5546875"
"triangle-scalefree-unclustered-unclustered-8","finished","-","niklasdewally","","2023-05-23T11:12:17.000Z","20","","scalefree","triangle","unclustered","unclustered","11","-0.22549423575401303","0.19041424989700317","0.4921875","0.7005208333333334"
"triangle-scalefree-unclustered-unclustered-7","finished","-","niklasdewally","","2023-05-23T11:11:46.000Z","29","","scalefree","triangle","unclustered","unclustered","23","-0.17927390336990356","0.1070370078086853","0.6328125","0.609375"
"triangle-scalefree-unclustered-unclustered-6","finished","-","niklasdewally","","2023-05-23T11:11:27.000Z","17","","scalefree","triangle","unclustered","unclustered","3","-0.12184948474168776","-0.031448882073163986","0.6510416666666666","0.671875"
"triangle-scalefree-unclustered-unclustered-5","finished","-","niklasdewally","","2023-05-23T11:11:06.000Z","19","","scalefree","triangle","unclustered","unclustered","6","-0.1263740360736847","-0.014272112399339676","0.6328125","0.6354166666666666"
"triangle-scalefree-unclustered-unclustered-4","finished","-","niklasdewally","","2023-05-23T11:10:46.000Z","18","","scalefree","triangle","unclustered","unclustered","8","-0.32555723190307617","0.1382664442062378","0.5729166666666666","0.6848958333333334"
"triangle-scalefree-unclustered-unclustered-3","finished","-","niklasdewally","","2023-05-23T11:10:20.000Z","24","","scalefree","triangle","unclustered","unclustered","16","-0.21195784211158752","0.39202746748924255","0.6614583333333334","0.6145833333333334"
"triangle-scalefree-unclustered-unclustered-2","finished","-","niklasdewally","","2023-05-23T11:09:53.000Z","25","","scalefree","triangle","unclustered","unclustered","18","-0.5821723341941833","-0.2428000420331955","0.7109375","0.6848958333333334"
"triangle-scalefree-unclustered-unclustered-1","finished","-","niklasdewally","","2023-05-23T11:09:34.000Z","17","","scalefree","triangle","unclustered","unclustered","3","-0.33461320400238037","0.029763013124465942","0.6119791666666666","0.609375"
"triangle-scalefree-unclustered-unclustered-0","finished","-","niklasdewally","","2023-05-23T11:09:17.000Z","15","","scalefree","triangle","unclustered","unclustered","0","-0.3149658143520355","0.1886311173439026","0.59375","0.4765625"
"triangle-scalefree-unclustered-clustered-9","finished","-","niklasdewally","","2023-05-23T11:08:50.000Z","25","","scalefree","triangle","unclustered","clustered","19","-0.27835613489151","0.22926759719848633","0.6302083333333334","0.5729166666666666"
"triangle-scalefree-unclustered-clustered-8","finished","-","niklasdewally","","2023-05-23T11:08:08.000Z","39","","scalefree","triangle","unclustered","clustered","40","-0.2891392409801483","-0.06740919500589371","0.5963541666666666","0.6588541666666666"
"triangle-scalefree-unclustered-clustered-7","finished","-","niklasdewally","","2023-05-23T11:07:48.000Z","17","","scalefree","triangle","unclustered","clustered","8","-0.34983283281326294","0.17627809941768646","0.671875","0.5130208333333334"
"triangle-scalefree-unclustered-clustered-6","finished","-","niklasdewally","","2023-05-23T11:07:29.000Z","17","","scalefree","triangle","unclustered","clustered","3","-0.2639436721801758","0.133558988571167","0.6041666666666666","0.6432291666666666"
"triangle-scalefree-unclustered-clustered-5","finished","-","niklasdewally","","2023-05-23T11:07:10.000Z","17","","scalefree","triangle","unclustered","clustered","3","-0.2423699051141739","0.4492362439632416","0.6145833333333334","0.6536458333333334"
"triangle-scalefree-unclustered-clustered-4","finished","-","niklasdewally","","2023-05-23T11:06:51.000Z","17","","scalefree","triangle","unclustered","clustered","8","-0.2241801619529724","0.014341317117214205","0.5651041666666666","0.7213541666666666"
"triangle-scalefree-unclustered-clustered-3","finished","-","niklasdewally","","2023-05-23T11:06:14.000Z","34","","scalefree","triangle","unclustered","clustered","30","-0.3867022395133972","0.5694791078567505","0.6015625","0.6770833333333334"
"triangle-scalefree-unclustered-clustered-2","finished","-","niklasdewally","","2023-05-23T11:05:49.000Z","22","","scalefree","triangle","unclustered","clustered","12","-0.0961953103542328","0.6570407748222351","0.6041666666666666","0.6458333333333334"
"triangle-scalefree-unclustered-clustered-1","finished","-","niklasdewally","","2023-05-23T11:05:22.000Z","24","","scalefree","triangle","unclustered","clustered","15","-0.3804762363433838","0.021149851381778717","0.6458333333333334","0.5442708333333334"
"triangle-scalefree-unclustered-clustered-0","finished","-","niklasdewally","","2023-05-23T11:04:50.000Z","30","","scalefree","triangle","unclustered","clustered","25","-0.2754935622215271","0.03966369479894638","0.515625","0.6328125"
"triangle-scalefree-clustered-unclustered-9","finished","-","niklasdewally","","2023-05-23T11:04:24.000Z","23","","scalefree","triangle","clustered","unclustered","14","-0.6643571257591248","0.22775211930274963","0.7057291666666666","0.6710182767624021"
"triangle-scalefree-clustered-unclustered-8","finished","-","niklasdewally","","2023-05-23T11:03:52.000Z","29","","scalefree","triangle","clustered","unclustered","25","-0.80573570728302","0.2248540222644806","0.6901041666666666","0.6370757180156658"
"triangle-scalefree-clustered-unclustered-7","finished","-","niklasdewally","","2023-05-23T11:03:32.000Z","17","","scalefree","triangle","clustered","unclustered","7","-0.11916562914848328","0.3320081830024719","0.6015625","0.6553524804177546"
"triangle-scalefree-clustered-unclustered-6","finished","-","niklasdewally","","2023-05-23T11:03:11.000Z","18","","scalefree","triangle","clustered","unclustered","7","-0.4489777684211731","1.0170618295669556","0.5104166666666666","0.6945169712793734"
"triangle-scalefree-clustered-unclustered-5","finished","-","niklasdewally","","2023-05-23T11:02:41.000Z","23","","scalefree","triangle","clustered","unclustered","15","-0.7836530208587646","-0.02697649598121643","0.71875","0.5378590078328982"
"triangle-scalefree-clustered-unclustered-4","finished","-","niklasdewally","","2023-05-23T11:02:13.000Z","25","","scalefree","triangle","clustered","unclustered","19","-0.389015257358551","-0.04204608127474785","0.75","0.6866840731070496"
"triangle-scalefree-clustered-unclustered-3","finished","-","niklasdewally","","2023-05-23T11:01:55.000Z","16","","scalefree","triangle","clustered","unclustered","4","-0.09755825996398926","2.848649024963379","0.7708333333333334","0.587467362924282"
"triangle-scalefree-clustered-unclustered-2","finished","-","niklasdewally","","2023-05-23T11:01:26.000Z","27","","scalefree","triangle","clustered","unclustered","17","-0.5867503881454468","-0.1598103940486908","0.6276041666666666","0.6501305483028721"
"triangle-scalefree-clustered-unclustered-1","finished","-","niklasdewally","","2023-05-23T11:01:09.000Z","15","","scalefree","triangle","clustered","unclustered","4","-0.017232060432434082","0.06539013981819153","0.6614583333333334","0.6919060052219321"
"triangle-scalefree-clustered-unclustered-0","finished","-","niklasdewally","","2023-05-23T11:00:32.000Z","35","","scalefree","triangle","clustered","unclustered","33","-0.8334698677062988","-0.11366377770900726","0.7109375","0.6292428198433421"
"triangle-scalefree-clustered-clustered-9","finished","-","niklasdewally","","2023-05-23T11:00:07.000Z","23","","scalefree","triangle","clustered","clustered","15","-0.7812695503234863","1.075286626815796","0.7057291666666666","0.4595300261096606"
"triangle-scalefree-clustered-clustered-8","finished","-","niklasdewally","","2023-05-23T10:59:39.000Z","25","","scalefree","triangle","clustered","clustered","19","-0.943100094795227","-0.026461035013198853","0.6796875","0.5195822454308094"
"triangle-scalefree-clustered-clustered-7","finished","-","niklasdewally","","2023-05-23T10:59:17.000Z","19","","scalefree","triangle","clustered","clustered","11","-0.34273087978363037","1.3164434432983398","0.6796875","0.6240208877284595"
"triangle-scalefree-clustered-clustered-6","finished","-","niklasdewally","","2023-05-23T10:58:59.000Z","16","","scalefree","triangle","clustered","clustered","5","-0.2994430363178253","0.032596439123153687","0.6979166666666666","0.6318537859007833"
"triangle-scalefree-clustered-clustered-5","finished","-","niklasdewally","","2023-05-23T10:58:34.000Z","23","","scalefree","triangle","clustered","clustered","12","-0.5713834762573242","0.05283260345458984","0.6822916666666666","0.5065274151436031"
"triangle-scalefree-clustered-clustered-4","finished","-","niklasdewally","","2023-05-23T10:58:02.000Z","30","","scalefree","triangle","clustered","clustered","26","-0.8266549110412598","0.5346633195877075","0.65625","0.6422976501305483"
"triangle-scalefree-clustered-clustered-3","finished","-","niklasdewally","","2023-05-23T10:57:46.000Z","14","","scalefree","triangle","clustered","clustered","2","-0.36063912510871887","0.825829267501831","0.7057291666666666","0.7127937336814621"
"triangle-scalefree-clustered-clustered-2","finished","-","niklasdewally","","2023-05-23T10:57:22.000Z","22","","scalefree","triangle","clustered","clustered","14","-0.8524097204208374","0.2615787982940674","0.6953125","0.6762402088772846"
"triangle-scalefree-clustered-clustered-1","finished","-","niklasdewally","","2023-05-23T10:56:45.000Z","35","","scalefree","triangle","clustered","clustered","33","-0.7994263768196106","0.41132408380508423","0.6692708333333334","0.6919060052219321"
"triangle-scalefree-clustered-clustered-0","finished","-","niklasdewally","","2023-05-23T10:56:20.000Z","22","","scalefree","triangle","clustered","clustered","10","-0.47823795676231384","-0.003447987139225006","0.7005208333333334","0.6057441253263708"
