"Name","State","Notes","User","Tags","Created","Runtime","Sweep","graph_type","model","src","target","-early-stopping-epoch","-training-loss","-validation-loss","source-accuracy","target-accuracy"
"triangle-poisson-clustered-unclustered-1","finished","-","niklasdewally","","2023-05-23T12:11:45.000Z","17","","poisson","triangle","clustered","unclustered","5","0.005054522305727005","41.980743408203125","0.369180057684384","0.38762886597938145"
"triangle-poisson-clustered-unclustered-0","finished","-","niklasdewally","","2023-05-23T12:11:28.000Z","15","","poisson","triangle","clustered","unclustered","6","-0.001106681302189827","36.60527420043945","0.6266447368421053","0.5978485726106744"
"triangle-poisson-clustered-clustered-9","finished","-","niklasdewally","","2023-05-23T12:11:07.000Z","19","","poisson","triangle","clustered","clustered","9","0.007271694950759411","33.11268615722656","0.6362886597938144","0.6164327002477291"
"triangle-poisson-clustered-clustered-8","finished","-","niklasdewally","","2023-05-23T12:10:48.000Z","17","","poisson","triangle","clustered","clustered","5","0.009187936782836914","2015.7342529296875","0.611454470539761","0.6058605035080479"
"triangle-poisson-clustered-clustered-7","finished","-","niklasdewally","","2023-05-23T12:10:07.000Z","39","","poisson","triangle","clustered","clustered","48","0.00012973998673260212","0.8856537342071533","0.6049382716049383","0.38531353135313534"
"triangle-poisson-clustered-clustered-6","finished","-","niklasdewally","","2023-05-23T12:09:49.000Z","15","","poisson","triangle","clustered","clustered","5","0.006129520945250988","467.93267822265625","0.6220115416323165","0.39545454545454545"
"triangle-poisson-clustered-clustered-5","finished","-","niklasdewally","","2023-05-23T12:09:34.000Z","12","","poisson","triangle","clustered","clustered","3","-0.0005322066135704517","453.0366516113281","0.6310160427807486","0.6166873192895498"
"triangle-poisson-clustered-clustered-4","finished","-","niklasdewally","","2023-05-23T12:09:12.000Z","19","","poisson","triangle","clustered","clustered","13","0.0016658278182148931","206.6165771484375","0.6252052545155994","0.38875103391232424"
"triangle-poisson-clustered-clustered-3","finished","-","niklasdewally","","2023-05-23T12:08:55.000Z","15","","poisson","triangle","clustered","clustered","8","0.016263093799352646","420.8268737792969","0.6135802469135803","0.6138900372054568"
"triangle-poisson-clustered-clustered-2","finished","-","niklasdewally","","2023-05-23T12:08:38.000Z","14","","poisson","triangle","clustered","clustered","2","-0.004127201624214649","273.51568603515625","0.3676410045286126","0.5985973597359736"
"triangle-poisson-clustered-clustered-1","finished","-","niklasdewally","","2023-05-23T12:08:14.000Z","22","","poisson","triangle","clustered","clustered","18","0.011852382682263851","333.3357849121094","0.3847102342786683","0.614811750103434"
"triangle-poisson-clustered-clustered-0","finished","-","niklasdewally","","2023-05-23T12:08:00.000Z","12","","poisson","triangle","clustered","clustered","0","-0.008605796843767166","29.614727020263672","0.3755656108597285","0.6169072164948454"
"egi-poisson-unclustered-unclustered-9","finished","-","niklasdewally","","2023-05-23T12:07:40.000Z","18","","poisson","egi","unclustered","unclustered","15","-0.21644538640975952","0.3776947855949402","0.6652719665271967","0.6073059360730594"
"egi-poisson-unclustered-unclustered-8","finished","-","niklasdewally","","2023-05-23T12:07:21.000Z","17","","poisson","egi","unclustered","unclustered","14","-0.33968693017959595","0.0955864042043686","0.5815899581589958","0.4931506849315068"
"egi-poisson-unclustered-unclustered-7","finished","-","niklasdewally","","2023-05-23T12:06:50.000Z","29","","poisson","egi","unclustered","unclustered","37","-0.6129741668701172","-0.34481412172317505","0.6234309623430963","0.6255707762557078"
"egi-poisson-unclustered-unclustered-6","finished","-","niklasdewally","","2023-05-23T12:06:32.000Z","16","","poisson","egi","unclustered","unclustered","10","-0.4127218723297119","0.40948542952537537","0.6652719665271967","0.5753424657534246"
"egi-poisson-unclustered-unclustered-5","finished","-","niklasdewally","","2023-05-23T12:06:03.000Z","27","","poisson","egi","unclustered","unclustered","29","-0.2912987470626831","-0.17641691863536835","0.6569037656903766","0.5662100456621004"
"egi-poisson-unclustered-unclustered-4","finished","-","niklasdewally","","2023-05-23T12:05:31.000Z","30","","poisson","egi","unclustered","unclustered","38","-0.38253289461135864","0.07484537363052368","0.694560669456067","0.6118721461187214"
"egi-poisson-unclustered-unclustered-3","finished","-","niklasdewally","","2023-05-23T12:05:09.000Z","20","","poisson","egi","unclustered","unclustered","16","-0.22723248600959775","-0.05667826533317566","0.702928870292887","0.6164383561643836"
"egi-poisson-unclustered-unclustered-2","finished","-","niklasdewally","","2023-05-23T12:04:40.000Z","27","","poisson","egi","unclustered","unclustered","33","-0.35057950019836426","-0.20106233656406405","0.6359832635983264","0.4840182648401826"
"egi-poisson-unclustered-unclustered-1","finished","-","niklasdewally","","2023-05-23T12:04:15.000Z","22","","poisson","egi","unclustered","unclustered","20","-0.6575619578361511","0.4188576638698578","0.6694560669456067","0.6164383561643836"
"egi-poisson-unclustered-unclustered-0","finished","-","niklasdewally","","2023-05-23T12:03:57.000Z","16","","poisson","egi","unclustered","unclustered","10","-0.2366987019777298","-0.051277339458465576","0.4811715481171548","0.5114155251141552"
"egi-poisson-unclustered-clustered-9","finished","-","niklasdewally","","2023-05-23T12:03:34.000Z","21","","poisson","egi","unclustered","clustered","22","-0.39953744411468506","0.06265150010585785","0.6150627615062761","0.5296803652968036"
